,valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment
2157,0.501,0.405,0.407,0.32,0.365,0
1223,0.4976666666666666,0.427,0.4086666666666667,0.29,0.3783333333333333,0
1083,0.4606,0.4397999999999999,0.421,0.3084,0.4065999999999999,0
456,0.498,0.4539999999999999,0.386,0.379,0.402,0
1448,0.4588181818181818,0.4830909090909092,0.4069090909090909,0.2978181818181818,0.3952727272727273,0
166,0.5209999999999999,0.3964999999999999,0.407,0.3325,0.382,0
1613,0.4853333333333333,0.4816666666666666,0.4033333333333333,0.3246666666666666,0.4406666666666667,0
2730,0.5122500000000001,0.42725,0.425,0.3712499999999999,0.366,0
2648,0.507,0.445,0.374,0.3475,0.3645,0
775,0.4772,0.4050000000000001,0.4,0.2875999999999999,0.4109999999999999,0
2650,0.492,0.495,0.401,0.307,0.435,0
683,0.5139999999999999,0.459,0.4056666666666667,0.325,0.3676666666666666,0
1621,0.4875,0.44025,0.44275,0.3515,0.44525,0
2456,0.508,0.451,0.326,0.312,0.386,0
1770,0.504,0.301,0.345,0.3429999999999999,0.357,0
633,0.506,0.351,0.3939999999999999,0.369,0.353,0
1849,0.4673999999999999,0.4453,0.4080999999999999,0.292,0.4044,0
716,0.492,0.5380000000000001,0.4273333333333333,0.3693333333333333,0.4059999999999999,0
1683,0.449,0.352,0.4385,0.285,0.3485,0
595,0.486,0.3896666666666666,0.408,0.3633333333333333,0.363,0
1878,0.486,0.421,0.43,0.317,0.392,0
2307,0.48675,0.45425,0.40525,0.31225,0.38525,0
541,0.496,0.397,0.4529999999999999,0.322,0.384,0
141,0.4589999999999999,0.415,0.3784999999999999,0.2804999999999999,0.3735,0
18,0.4591666666666668,0.4529166666666666,0.4174166666666666,0.3119166666666667,0.4080833333333333,0
812,0.525,0.4215,0.4054999999999999,0.3319999999999999,0.3545,0
371,0.4608333333333334,0.4413333333333333,0.4658333333333333,0.2965,0.393,0
1166,0.49,0.57,0.481,0.355,0.435,0
2191,0.519,0.354,0.389,0.361,0.36,0
2104,0.485,0.434,0.414,0.291,0.391,0
1248,0.482,0.431,0.465,0.263,0.484,0
352,0.491,0.402,0.4679999999999999,0.358,0.431,0
1416,0.47625,0.4185,0.4282499999999999,0.294,0.3562499999999999,0
2321,0.4615526315789475,0.4262105263157893,0.4200526315789473,0.2672894736842105,0.4162631578947368,0
1813,0.5006666666666667,0.5253333333333333,0.422,0.3056666666666667,0.4216666666666667,0
2369,0.482,0.442,0.396,0.31,0.4035,0
2523,0.485,0.4579999999999999,0.428,0.294,0.425,0
2694,0.51,0.376,0.4029999999999999,0.2769999999999999,0.396,0
957,0.4995,0.3725,0.4395,0.321,0.3575,0
3742,0.43725,0.43725,0.391,0.30925,0.43075,0
2799,0.4785,0.4535,0.428,0.355,0.3845,0
2130,0.5103,0.4226,0.3756,0.3315,0.3848,0
1044,0.5135000000000001,0.432,0.376,0.363,0.4004999999999999,0
2425,0.50075,0.4605,0.39825,0.30975,0.4065,0
1978,0.5133333333333333,0.4056666666666667,0.3473333333333333,0.3013333333333334,0.355,0
1878,0.5206666666666666,0.417,0.3723333333333333,0.314,0.359,0
944,0.496,0.408,0.36,0.352,0.342,0
